workflow_id	workflow_name	read_layout	workflow_total_duration	download_duration	processing_duration	instance_type	status	run_id	cpu	mem	cache	blkio
0bc6f79	star-stringtie	SINGLE	211.0	2.971063453	208.028936547	r5.4xlarge	success	SRR5185518	436.838297092951	35549806592	703807488	4096
95da0ab	hisat2-stringtie	PAIRED	306.0	2.167707855	303.832292145	r5.4xlarge	success	SRR4241930	1565.3312718797	7170105344	2325774336	600981504
0c0aa55	hisat2-stringtie	SINGLE	90.0	0.71998242	89.28001758	r5.4xlarge	success	SRR4428678	289.378809893283	816046080	32317440	76750848
ba95423	hisat2-stringtie	SINGLE	629.0	4.350095671	624.649904329	r5.4xlarge	success	SRR2567462	338.131126654159	10285355008	5429399552	1802383360
41eddc3	hisat2-stringtie	SINGLE	315.0	2.447174453	312.552825547	r5.4xlarge	success	SRR5023408	1517.08497763387	7037034496	2237968384	0
c15dedf	star-cufflinks	SINGLE	387.0	2.094578714	384.905421286	r5.4xlarge	success	SRR5185518	696.909983078849	35445510144	616681472	4096
62ebb01	star-cufflinks	SINGLE	696.0	1.761584371	694.238415629	r5.4xlarge	success	SRR2932901	503.16133203252	37101486080	2276515840	1223299072
012b501	star-cufflinks	SINGLE	945.0	3.614522245	941.385477755	r5.4xlarge	success	ERR204893	295.041677351655	39203135488	4239507456	2567479296
93c1077	hisat2-cufflinks	PAIRED	605.0	1.842411531	603.157588469	r5.4xlarge	success	SRR2932901	1576.90505719626	10142011392	5295206400	2042851328
2d3dec0	hisat2-cufflinks	PAIRED	310.0	2.281641889	307.718358111	r5.4xlarge	success	SRR5185518	899.91575663105	2141253632	568053760	97140736
a0640ec	hisat2-cufflinks	PAIRED	802.0	4.014189869	797.985810131	r5.4xlarge	success	ERR204893	112.97959755153	11545841664	6681636864	2569314304
2217a91	hisat2-cufflinks	SINGLE	865.0	5.358240693	859.641759307	r5.4xlarge	success	SRR2567462	1548.82638954774	11405639680	6543675392	1997598720
78492c6	hisat2-cufflinks	SINGLE	152.0	0.761286328	151.238713672	r5.4xlarge	success	SRR4428678	1248.16766794727	2581422080	97898496	163774464
3268e5e	tophat2-cufflinks	PAIRED	4005.0	6.074896445	3998.925103555	r5.4xlarge	success	SRR2567462	1594.249307	17759207424	8480387072	50876416
53e52de	star-cufflinks	SINGLE	376.0	2.158656841	373.841343159	r5.4xlarge	success	SRR5023408	562.06009421118	35777638400	950132736	210472960
0bf64b9	salmon	PAIRED	77.0	0	77.0	r5.4xlarge	success	SRR2932901	1589.80809299315	903946240	792248320	0
06e2e4d	salmon	PAIRED	125.0	0	125.0	r5.4xlarge	success	SRR2567462	1602.8143422361	4144988160	328151040	0
c1a1330	salmon	PAIRED	21.0	0	21.0	r5.4xlarge	success	SRR4250750	0	0	0	0
